,country,country_code,year,gini_coef
8,Angola,AGO,2008,42.7
4,Albania,ALB,2012,29.0
35,Argentina,ARG,2014,42.7
51,Armenia,ARM,2015,32.4
59,Australia,AUS,2010,34.7
70,Austria,AUT,2014,30.5
77,Azerbaijan,AZE,2008,31.8
201,Burundi,BDI,2013,39.2
114,Belgium,BEL,2014,28.1
123,Benin,BEN,2015,47.8
197,Burkina Faso,BFA,2014,35.3
85,Bangladesh,BGD,2010,32.1
192,Bulgaria,BGR,2014,37.4
147,Bosnia and Herzegovina,BIH,2011,33.8
103,Belarus,BLR,2015,26.7
120,Belize,BLZ,1999,53.3
143,Bolivia,BOL,2015,45.8
182,Brazil,BRA,2015,51.3
126,Bhutan,BTN,2012,38.8
151,Botswana,BWA,2009,60.5
221,Central African Republic,CAF,2008,56.2
216,Canada,CAN,2013,34.0
1140,Switzerland,CHE,2013,32.5
236,Chile,CHL,2015,47.7
238,China,CHN,2012,42.2
298,Cote d'Ivoire,CIV,2015,41.7
205,Cameroon,CMR,2014,46.5
332,Democratic Republic of Congo,COD,2012,42.1
259,Congo,COG,2011,48.9
255,Colombia,COL,2015,51.1
257,Comoros,COM,2013,45.0
218,Cape Verde,CPV,2007,47.2
288,Costa Rica,CRI,2015,48.2
316,Cyprus,CYP,2014,35.6
330,Czech Republic,CZE,2014,25.9
486,Germany,DEU,2013,31.4
346,Djibouti,DJI,2013,44.1
343,Denmark,DNK,2014,28.5
367,Dominican Republic,DOM,2015,44.9
7,Algeria,DZA,2011,27.6
385,Ecuador,ECU,2015,46.5
393,Egypt,EGY,2015,31.8
1110,Spain,ESP,2014,36.0
428,Estonia,EST,2014,34.6
432,Ethiopia,ETH,2010,33.2
446,Finland,FIN,2014,26.8
435,Fiji,FJI,2013,36.4
456,France,FRA,2014,32.3
783,Micronesia (country),FSM,2013,40.1
457,Gabon,GAB,2005,42.2
1240,United Kingdom,GBR,2014,34.1
479,Georgia,GEO,2015,38.5
492,Ghana,GHA,2012,42.2
514,Guinea,GIN,2012,33.7
459,Gambia,GMB,2003,47.3
517,Guinea-Bissau,GNB,2010,50.7
503,Greece,GRC,2014,35.8
509,Guatemala,GTM,2014,48.7
518,Guyana,GUY,1998,44.5
545,Honduras,HND,2015,50.1
305,Croatia,HRV,2014,32.2
519,Haiti,HTI,2012,40.9
559,Hungary,HUN,2014,30.9
572,Indonesia,IDN,2013,39.5
571,India,IND,2011,35.2
594,Ireland,IRL,2014,31.9
581,Iran,IRN,2014,38.8
583,Iraq,IRQ,2012,29.5
570,Iceland,ISL,2014,25.6
603,Israel,ISR,2012,41.4
614,Italy,ITA,2014,34.7
621,Jamaica,JAM,2004,45.5
629,Jordan,JOR,2010,33.7
622,Japan,JPN,2008,32.1
645,Kazakhstan,KAZ,2015,26.5
649,Kenya,KEN,2005,48.5
676,Kyrgyzstan,KGZ,2015,29.0
650,Kiribati,KIR,2006,37.0
1098,South Korea,KOR,2012,31.6
681,Laos,LAO,2012,36.4
697,Lebanon,LBN,2011,31.8
703,Liberia,LBR,2014,33.2
1038,Saint Lucia,LCA,1995,42.6
1117,Sri Lanka,LKA,2012,39.2
701,Lesotho,LSO,2010,54.2
716,Lithuania,LTU,2014,37.7
727,Luxembourg,LUX,2014,31.2
696,Latvia,LVA,2014,35.1
825,Morocco,MAR,2006,40.7
802,Moldova,MDA,2015,27.0
741,Madagascar,MDG,2012,42.7
755,Maldives,MDV,2009,38.4
781,Mexico,MEX,2014,48.2
733,Macedonia,MKD,2015,35.6
759,Mali,MLI,2009,33.0
829,Myanmar,MMR,2015,38.1
820,Montenegro,MNE,2014,31.9
810,Mongolia,MNG,2014,32.0
828,Mozambique,MOZ,2008,45.6
766,Mauritania,MRT,2014,32.4
768,Mauritius,MUS,2012,35.8
744,Malawi,MWI,2010,46.1
753,Malaysia,MYS,2009,46.3
831,Namibia,NAM,2009,61.0
857,Niger,NER,2014,34.0
862,Nigeria,NGA,2009,43.0
851,Nicaragua,NIC,2014,46.6
845,Netherlands,NLD,2014,28.6
873,Norway,NOR,2014,26.8
834,Nepal,NPL,2010,32.8
658,Kosovo,OWID_KOS,2013,26.7
884,Pakistan,PAK,2013,30.7
914,Panama,PAN,2015,51.0
954,Peru,PER,2015,44.3
965,Philippines,PHL,2015,40.1
916,Papua New Guinea,PNG,2009,41.8
984,Poland,POL,2014,32.1
995,Portugal,PRT,2014,35.6
935,Paraguay,PRY,2015,48.0
891,Palestine,PSE,2011,34.4
1011,Romania,ROU,2013,27.5
1032,Russia,RUS,2015,37.7
1037,Rwanda,RWA,2013,50.4
1118,Sudan,SDN,2009,35.4
1046,Senegal,SEN,2011,40.3
1088,Solomon Islands,SLB,2013,37.0
1059,Sierra Leone,SLE,2011,34.0
414,El Salvador,SLV,2015,40.8
1056,Serbia,SRB,2013,29.1
1099,South Sudan,SSD,2009,46.3
1041,Sao Tome and Principe,STP,2010,30.8
1119,Suriname,SUR,1999,57.6
1073,Slovakia,SVK,2014,26.1
1086,Slovenia,SVN,2014,25.7
1133,Sweden,SWE,2014,27.2
1122,Swaziland,SWZ,2009,51.5
1057,Seychelles,SYC,2013,46.8
1141,Syria,SYR,2004,35.8
223,Chad,TCD,2011,43.3
1178,Togo,TGO,2015,43.0
1173,Thailand,THA,2013,37.8
1150,Tajikistan,TJK,2015,34.0
1204,Turkmenistan,TKM,1998,40.8
1175,Timor,TLS,2007,30.3
1180,Tonga,TON,2009,37.5
1182,Trinidad and Tobago,TTO,1992,40.3
1188,Tunisia,TUN,2010,35.8
1203,Turkey,TUR,2014,41.2
1205,Tuvalu,TUV,2010,39.1
1154,Tanzania,TZA,2011,37.8
1213,Uganda,UGA,2012,41.0
1229,Ukraine,UKR,2015,25.5
1262,Uruguay,URY,2015,41.7
1250,United States,USA,2013,41.0
1266,Uzbekistan,UZB,2003,35.3
1280,Venezuela,VEN,2006,46.9
1289,Vietnam,VNM,2014,34.8
1267,Vanuatu,VUT,2010,37.3
1039,Samoa,WSM,2008,42.0
1292,Yemen,YEM,2014,36.7
1094,South Africa,ZAF,2011,63.4
1301,Zambia,ZMB,2015,57.1
1302,Zimbabwe,ZWE,2011,43.2
